Book,Eng,EngSingle,Value,Chap,Verse,HebChap
01O,Genesis,Genesis,14930,49,19,43
01O,Genesis,Genesis,14940,49,20,43
01O,Genesis,Genesis,14950,49,21,43
01O,Genesis,Genesis,14960,49,22,43
01O,Genesis,Genesis,14970,49,23,43
01O,Genesis,Genesis,14980,49,24,43
01O,Genesis,Genesis,14990,49,25,43
01O,Genesis,Genesis,15000,49,26,43
01O,Genesis,Genesis,15010,49,27,43
01O,Genesis,Genesis,15020,49,28,43
01O,Genesis,Genesis,15030,49,29,43
01O,Genesis,Genesis,15040,49,30,43
01O,Genesis,Genesis,15050,49,31,43
01O,Genesis,Genesis,15060,49,32,43
01O,Genesis,Genesis,15070,49,33,43
01O,Genesis,Genesis,15080,50,1,43
01O,Genesis,Genesis,15090,50,2,43
01O,Genesis,Genesis,15100,50,3,43
01O,Genesis,Genesis,15110,50,4,43
01O,Genesis,Genesis,15120,50,5,43
01O,Genesis,Genesis,15130,50,6,43
01O,Genesis,Genesis,15140,50,7,43
01O,Genesis,Genesis,15150,50,8,43
01O,Genesis,Genesis,15160,50,9,43
01O,Genesis,Genesis,15170,50,10,43
01O,Genesis,Genesis,15180,50,11,43
01O,Genesis,Genesis,15190,50,12,43
01O,Genesis,Genesis,15200,50,13,43
01O,Genesis,Genesis,15210,50,14,43
01O,Genesis,Genesis,15220,50,15,43
01O,Genesis,Genesis,15230,50,16,43
01O,Genesis,Genesis,15240,50,17,43
01O,Genesis,Genesis,15250,50,18,43
01O,Genesis,Genesis,15260,50,19,43
01O,Genesis,Genesis,15270,50,20,43
01O,Genesis,Genesis,15280,50,21,43
01O,Genesis,Genesis,15290,50,22,43
01O,Genesis,Genesis,15300,50,23,43
01O,Genesis,Genesis,15310,50,24,43
01O,Genesis,Genesis,15320,50,25,43
01O,Genesis,Genesis,15330,50,26,43
02O,Exodus,Exodus,15340,1,1,1
02O,Exodus,Exodus,15350,1,2,1
02O,Exodus,Exodus,15360,1,3,1
02O,Exodus,Exodus,15370,1,4,1
02O,Exodus,Exodus,15380,1,5,1
02O,Exodus,Exodus,15390,1,6,1
02O,Exodus,Exodus,15400,1,7,1
02O,Exodus,Exodus,15410,1,8,1
02O,Exodus,Exodus,15420,1,9,1
02O,Exodus,Exodus,15430,1,10,1
02O,Exodus,Exodus,15440,1,11,1
02O,Exodus,Exodus,15450,1,12,1
02O,Exodus,Exodus,15460,1,13,1
02O,Exodus,Exodus,15470,1,14,1
02O,Exodus,Exodus,15480,1,15,1
02O,Exodus,Exodus,15490,1,16,1
02O,Exodus,Exodus,15500,1,17,1
02O,Exodus,Exodus,15510,1,18,1
02O,Exodus,Exodus,15520,1,19,1
02O,Exodus,Exodus,15530,1,20,1
02O,Exodus,Exodus,15540,1,21,1
02O,Exodus,Exodus,15550,1,22,1
02O,Exodus,Exodus,15560,2,1,1
02O,Exodus,Exodus,15570,2,2,1
02O,Exodus,Exodus,15580,2,3,1
02O,Exodus,Exodus,15590,2,4,1
02O,Exodus,Exodus,15600,2,5,1
02O,Exodus,Exodus,15610,2,6,1
02O,Exodus,Exodus,15620,2,7,1
02O,Exodus,Exodus,15630,2,8,1
02O,Exodus,Exodus,15640,2,9,1
02O,Exodus,Exodus,15650,2,10,1
02O,Exodus,Exodus,15660,2,11,1
02O,Exodus,Exodus,15670,2,12,1
02O,Exodus,Exodus,15680,2,13,1
02O,Exodus,Exodus,15690,2,14,1
02O,Exodus,Exodus,15700,2,15,1
02O,Exodus,Exodus,15710,2,16,1
02O,Exodus,Exodus,15720,2,17,1
02O,Exodus,Exodus,15730,2,18,1
02O,Exodus,Exodus,15740,2,19,1
02O,Exodus,Exodus,15750,2,20,1
02O,Exodus,Exodus,15760,2,21,1
02O,Exodus,Exodus,15770,2,22,1
02O,Exodus,Exodus,15780,2,23,1
02O,Exodus,Exodus,15790,2,24,1
02O,Exodus,Exodus,15800,2,25,1
02O,Exodus,Exodus,15810,3,1,2
02O,Exodus,Exodus,15820,3,2,2
02O,Exodus,Exodus,15830,3,3,2
02O,Exodus,Exodus,15840,3,4,2
02O,Exodus,Exodus,15850,3,5,2
02O,Exodus,Exodus,15860,3,6,2
02O,Exodus,Exodus,15870,3,7,2
02O,Exodus,Exodus,15880,3,8,2
02O,Exodus,Exodus,15890,3,9,2
02O,Exodus,Exodus,15900,3,10,2
02O,Exodus,Exodus,15910,3,11,2
02O,Exodus,Exodus,15920,3,12,2
02O,Exodus,Exodus,15930,3,13,2
02O,Exodus,Exodus,15940,3,14,2
02O,Exodus,Exodus,15950,3,15,2
02O,Exodus,Exodus,15960,3,16,2
02O,Exodus,Exodus,15970,3,17,2
02O,Exodus,Exodus,15980,3,18,2
02O,Exodus,Exodus,15990,3,19,2
02O,Exodus,Exodus,16000,3,20,2
02O,Exodus,Exodus,16010,3,21,2
02O,Exodus,Exodus,16020,3,22,2
02O,Exodus,Exodus,16030,4,1,2
02O,Exodus,Exodus,16040,4,2,2
02O,Exodus,Exodus,16050,4,3,2
02O,Exodus,Exodus,16060,4,4,2
02O,Exodus,Exodus,16070,4,5,2
02O,Exodus,Exodus,16080,4,6,2
02O,Exodus,Exodus,16090,4,7,2
02O,Exodus,Exodus,16100,4,8,2
02O,Exodus,Exodus,16110,4,9,2
02O,Exodus,Exodus,16120,4,10,2
02O,Exodus,Exodus,16130,4,11,2
02O,Exodus,Exodus,16140,4,12,2
02O,Exodus,Exodus,16150,4,13,2
02O,Exodus,Exodus,16160,4,14,2
02O,Exodus,Exodus,16170,4,15,2
02O,Exodus,Exodus,16180,4,16,2
02O,Exodus,Exodus,16190,4,17,2
02O,Exodus,Exodus,16200,4,18,3
02O,Exodus,Exodus,16210,4,19,3
02O,Exodus,Exodus,16220,4,20,3
02O,Exodus,Exodus,16230,4,21,3
02O,Exodus,Exodus,16240,4,22,3
02O,Exodus,Exodus,16250,4,23,3
02O,Exodus,Exodus,16260,4,24,3
02O,Exodus,Exodus,16270,4,25,3
02O,Exodus,Exodus,16280,4,26,3
02O,Exodus,Exodus,16290,4,27,3
02O,Exodus,Exodus,16300,4,28,3
02O,Exodus,Exodus,16310,4,29,3
02O,Exodus,Exodus,16320,4,30,3
02O,Exodus,Exodus,16330,4,31,3
02O,Exodus,Exodus,16340,5,1,3
02O,Exodus,Exodus,16350,5,2,3
02O,Exodus,Exodus,16360,5,3,3
02O,Exodus,Exodus,16370,5,4,3
02O,Exodus,Exodus,16380,5,5,3
02O,Exodus,Exodus,16390,5,6,3
02O,Exodus,Exodus,16400,5,7,3
02O,Exodus,Exodus,16410,5,8,3
02O,Exodus,Exodus,16420,5,9,3
02O,Exodus,Exodus,16430,5,10,3
02O,Exodus,Exodus,16440,5,11,3
02O,Exodus,Exodus,16450,5,12,3
02O,Exodus,Exodus,16460,5,13,3
02O,Exodus,Exodus,16470,5,14,3
02O,Exodus,Exodus,16480,5,15,3
02O,Exodus,Exodus,16490,5,16,3
02O,Exodus,Exodus,16500,5,17,3
02O,Exodus,Exodus,16510,5,18,3
02O,Exodus,Exodus,16520,5,19,3
02O,Exodus,Exodus,16530,5,20,3
02O,Exodus,Exodus,16540,5,21,3
02O,Exodus,Exodus,16550,5,22,3
02O,Exodus,Exodus,16560,5,23,3
02O,Exodus,Exodus,16570,6,1,3
02O,Exodus,Exodus,16580,6,2,4
02O,Exodus,Exodus,16590,6,3,4
02O,Exodus,Exodus,16600,6,4,4
02O,Exodus,Exodus,16610,6,5,4
02O,Exodus,Exodus,16620,6,6,4
02O,Exodus,Exodus,16630,6,7,4
02O,Exodus,Exodus,16640,6,8,4
02O,Exodus,Exodus,16650,6,9,4
02O,Exodus,Exodus,16660,6,10,4
02O,Exodus,Exodus,16670,6,11,4
02O,Exodus,Exodus,16680,6,12,4
02O,Exodus,Exodus,16690,6,13,4
02O,Exodus,Exodus,16700,6,14,4
02O,Exodus,Exodus,16710,6,15,4
02O,Exodus,Exodus,16720,6,16,4
02O,Exodus,Exodus,16730,6,17,4
02O,Exodus,Exodus,16740,6,18,4
02O,Exodus,Exodus,16750,6,19,4
02O,Exodus,Exodus,16760,6,20,4
02O,Exodus,Exodus,16770,6,21,4
02O,Exodus,Exodus,16780,6,22,4
02O,Exodus,Exodus,16790,6,23,4
02O,Exodus,Exodus,16800,6,24,4
02O,Exodus,Exodus,16810,6,25,4
02O,Exodus,Exodus,16820,6,26,4
02O,Exodus,Exodus,16830,6,27,4
02O,Exodus,Exodus,16840,6,28,4
02O,Exodus,Exodus,16850,6,29,4
02O,Exodus,Exodus,16860,6,30,4
02O,Exodus,Exodus,16870,7,1,4
02O,Exodus,Exodus,16880,7,2,4
02O,Exodus,Exodus,16890,7,3,4
02O,Exodus,Exodus,16900,7,4,4
02O,Exodus,Exodus,16910,7,5,4
02O,Exodus,Exodus,16920,7,6,4
02O,Exodus,Exodus,16930,7,7,4
02O,Exodus,Exodus,16940,7,8,5
02O,Exodus,Exodus,16950,7,9,5
02O,Exodus,Exodus,16960,7,10,5
02O,Exodus,Exodus,16970,7,11,5
02O,Exodus,Exodus,16980,7,12,5
02O,Exodus,Exodus,16990,7,13,5
02O,Exodus,Exodus,17000,7,14,5
02O,Exodus,Exodus,17010,7,15,5
02O,Exodus,Exodus,17020,7,16,5
02O,Exodus,Exodus,17030,7,17,5
02O,Exodus,Exodus,17040,7,18,5
02O,Exodus,Exodus,17050,7,19,5
02O,Exodus,Exodus,17060,7,20,5
02O,Exodus,Exodus,17070,7,21,5
02O,Exodus,Exodus,17080,7,22,5
02O,Exodus,Exodus,17090,7,23,5
02O,Exodus,Exodus,17100,7,24,5
02O,Exodus,Exodus,17110,7,25,5
02O,Exodus,Exodus,17120,7,26,5
02O,Exodus,Exodus,17130,7,27,5
02O,Exodus,Exodus,17140,7,28,5
02O,Exodus,Exodus,17150,7,29,5
02O,Exodus,Exodus,17160,8,1,5
02O,Exodus,Exodus,17170,8,2,5
02O,Exodus,Exodus,17180,8,3,5
02O,Exodus,Exodus,17190,8,4,5
02O,Exodus,Exodus,17200,8,5,5
02O,Exodus,Exodus,17210,8,6,5
02O,Exodus,Exodus,17220,8,7,5
02O,Exodus,Exodus,17230,8,8,5
02O,Exodus,Exodus,17240,8,9,5
02O,Exodus,Exodus,17250,8,10,5
02O,Exodus,Exodus,17260,8,11,5
02O,Exodus,Exodus,17270,8,12,5
02O,Exodus,Exodus,17280,8,13,5
02O,Exodus,Exodus,17290,8,14,5
02O,Exodus,Exodus,17300,8,15,5
02O,Exodus,Exodus,17310,8,16,6
02O,Exodus,Exodus,17320,8,17,6
02O,Exodus,Exodus,17330,8,18,6
02O,Exodus,Exodus,17340,8,19,6
02O,Exodus,Exodus,17350,8,20,6
02O,Exodus,Exodus,17360,8,21,6
02O,Exodus,Exodus,17370,8,22,6
02O,Exodus,Exodus,17380,8,23,6
02O,Exodus,Exodus,17390,8,24,6
02O,Exodus,Exodus,17400,8,25,6
02O,Exodus,Exodus,17410,8,26,6
02O,Exodus,Exodus,17420,8,27,6
02O,Exodus,Exodus,17430,8,28,6
02O,Exodus,Exodus,17440,9,1,6
02O,Exodus,Exodus,17450,9,2,6
02O,Exodus,Exodus,17460,9,3,6
02O,Exodus,Exodus,17470,9,4,6
02O,Exodus,Exodus,17480,9,5,6
02O,Exodus,Exodus,17490,9,6,6
02O,Exodus,Exodus,17500,9,7,6
02O,Exodus,Exodus,17510,9,8,6
02O,Exodus,Exodus,17520,9,9,6
02O,Exodus,Exodus,17530,9,10,6
02O,Exodus,Exodus,17540,9,11,6
02O,Exodus,Exodus,17550,9,12,6
02O,Exodus,Exodus,17560,9,13,6
02O,Exodus,Exodus,17570,9,14,6
02O,Exodus,Exodus,17580,9,15,6
02O,Exodus,Exodus,17590,9,16,6
02O,Exodus,Exodus,17600,9,17,6
02O,Exodus,Exodus,17610,9,18,6
02O,Exodus,Exodus,17620,9,19,6
02O,Exodus,Exodus,17630,9,20,6
02O,Exodus,Exodus,17640,9,21,6
02O,Exodus,Exodus,17650,9,22,6
02O,Exodus,Exodus,17660,9,23,6
02O,Exodus,Exodus,17670,9,24,6
02O,Exodus,Exodus,17680,9,25,6
02O,Exodus,Exodus,17690,9,26,6
02O,Exodus,Exodus,17700,9,27,6
02O,Exodus,Exodus,17710,9,28,6
02O,Exodus,Exodus,17720,9,29,6
02O,Exodus,Exodus,17730,9,30,6
02O,Exodus,Exodus,17740,9,31,6
02O,Exodus,Exodus,17750,9,32,6
02O,Exodus,Exodus,17760,9,33,6
02O,Exodus,Exodus,17770,9,34,6
02O,Exodus,Exodus,17780,9,35,6
02O,Exodus,Exodus,17790,10,1,7
02O,Exodus,Exodus,17800,10,2,7
02O,Exodus,Exodus,17810,10,3,7
02O,Exodus,Exodus,17820,10,4,7
02O,Exodus,Exodus,17830,10,5,7
02O,Exodus,Exodus,17840,10,6,7
02O,Exodus,Exodus,17850,10,7,7
02O,Exodus,Exodus,17860,10,8,7
02O,Exodus,Exodus,17870,10,9,7
02O,Exodus,Exodus,17880,10,10,7
02O,Exodus,Exodus,17890,10,11,7
02O,Exodus,Exodus,17900,10,12,7
02O,Exodus,Exodus,17910,10,13,7
02O,Exodus,Exodus,17920,10,14,7
02O,Exodus,Exodus,17930,10,15,7
02O,Exodus,Exodus,17940,10,16,7
02O,Exodus,Exodus,17950,10,17,7
02O,Exodus,Exodus,17960,10,18,7
02O,Exodus,Exodus,17970,10,19,7
02O,Exodus,Exodus,17980,10,20,7
02O,Exodus,Exodus,17990,10,21,7
02O,Exodus,Exodus,18000,10,22,7
02O,Exodus,Exodus,18010,10,23,7
02O,Exodus,Exodus,18020,10,24,7
02O,Exodus,Exodus,18030,10,25,7
02O,Exodus,Exodus,18040,10,26,7
02O,Exodus,Exodus,18050,10,27,7
02O,Exodus,Exodus,18060,10,28,7
02O,Exodus,Exodus,18070,10,29,7
02O,Exodus,Exodus,18080,11,1,8
02O,Exodus,Exodus,18090,11,2,8
02O,Exodus,Exodus,18100,11,3,8
02O,Exodus,Exodus,18110,11,4,8
02O,Exodus,Exodus,18120,11,5,8
02O,Exodus,Exodus,18130,11,6,8
02O,Exodus,Exodus,18140,11,7,8
02O,Exodus,Exodus,18150,11,8,8
02O,Exodus,Exodus,18160,11,9,8
02O,Exodus,Exodus,18170,11,10,8
02O,Exodus,Exodus,18180,12,1,8
02O,Exodus,Exodus,18190,12,2,8
02O,Exodus,Exodus,18200,12,3,8
02O,Exodus,Exodus,18210,12,4,8
02O,Exodus,Exodus,18220,12,5,8
02O,Exodus,Exodus,18230,12,6,8
02O,Exodus,Exodus,18240,12,7,8
02O,Exodus,Exodus,18250,12,8,8
02O,Exodus,Exodus,18260,12,9,8
02O,Exodus,Exodus,18270,12,10,8
02O,Exodus,Exodus,18280,12,11,8
02O,Exodus,Exodus,18290,12,12,8
02O,Exodus,Exodus,18300,12,13,8
02O,Exodus,Exodus,18310,12,14,8
02O,Exodus,Exodus,18320,12,15,8
02O,Exodus,Exodus,18330,12,16,8
02O,Exodus,Exodus,18340,12,17,8
02O,Exodus,Exodus,18350,12,18,8
02O,Exodus,Exodus,18360,12,19,8
02O,Exodus,Exodus,18370,12,20,8
02O,Exodus,Exodus,18380,12,21,8
02O,Exodus,Exodus,18390,12,22,8
02O,Exodus,Exodus,18400,12,23,8
02O,Exodus,Exodus,18410,12,24,8
02O,Exodus,Exodus,18420,12,25,8
02O,Exodus,Exodus,18430,12,26,8
02O,Exodus,Exodus,18440,12,27,8
02O,Exodus,Exodus,18450,12,28,8
02O,Exodus,Exodus,18460,12,29,9
02O,Exodus,Exodus,18470,12,30,9
02O,Exodus,Exodus,18480,12,31,9
02O,Exodus,Exodus,18490,12,32,9
02O,Exodus,Exodus,18500,12,33,9
02O,Exodus,Exodus,18510,12,34,9
02O,Exodus,Exodus,18520,12,35,9
02O,Exodus,Exodus,18530,12,36,9
02O,Exodus,Exodus,18540,12,37,9
02O,Exodus,Exodus,18550,12,38,9
02O,Exodus,Exodus,18560,12,39,9
02O,Exodus,Exodus,18570,12,40,9
02O,Exodus,Exodus,18580,12,41,9
02O,Exodus,Exodus,18590,12,42,9
02O,Exodus,Exodus,18600,12,43,9
02O,Exodus,Exodus,18610,12,44,9
02O,Exodus,Exodus,18620,12,45,9
02O,Exodus,Exodus,18630,12,46,9
02O,Exodus,Exodus,18640,12,47,9
02O,Exodus,Exodus,18650,12,48,9
02O,Exodus,Exodus,18660,12,49,9
02O,Exodus,Exodus,18670,12,50,9
02O,Exodus,Exodus,18680,12,51,9
02O,Exodus,Exodus,18690,13,1,10
02O,Exodus,Exodus,18700,13,2,10
02O,Exodus,Exodus,18710,13,3,10
02O,Exodus,Exodus,18720,13,4,10
02O,Exodus,Exodus,18730,13,5,10
02O,Exodus,Exodus,18740,13,6,10
02O,Exodus,Exodus,18750,13,7,10
02O,Exodus,Exodus,18760,13,8,10
02O,Exodus,Exodus,18770,13,9,10
02O,Exodus,Exodus,18780,13,10,10
02O,Exodus,Exodus,18790,13,11,10
02O,Exodus,Exodus,18800,13,12,10
02O,Exodus,Exodus,18810,13,13,10
02O,Exodus,Exodus,18820,13,14,10
02O,Exodus,Exodus,18830,13,15,10
02O,Exodus,Exodus,18840,13,16,10
02O,Exodus,Exodus,18850,13,17,10
02O,Exodus,Exodus,18860,13,18,10
02O,Exodus,Exodus,18870,13,19,10
02O,Exodus,Exodus,18880,13,20,10
02O,Exodus,Exodus,18890,13,21,10
02O,Exodus,Exodus,18900,13,22,10
02O,Exodus,Exodus,18910,14,1,10
02O,Exodus,Exodus,18920,14,2,10
02O,Exodus,Exodus,18930,14,3,10
02O,Exodus,Exodus,18940,14,4,10
02O,Exodus,Exodus,18950,14,5,10
02O,Exodus,Exodus,18960,14,6,10
02O,Exodus,Exodus,18970,14,7,10
02O,Exodus,Exodus,18980,14,8,10
02O,Exodus,Exodus,18990,14,9,10
02O,Exodus,Exodus,19000,14,10,10
02O,Exodus,Exodus,19010,14,11,10
02O,Exodus,Exodus,19020,14,12,10
02O,Exodus,Exodus,19030,14,13,10
02O,Exodus,Exodus,19040,14,14,10
02O,Exodus,Exodus,19050,14,15,11
02O,Exodus,Exodus,19060,14,16,11
02O,Exodus,Exodus,19070,14,17,11
02O,Exodus,Exodus,19080,14,18,11
02O,Exodus,Exodus,19090,14,19,11
02O,Exodus,Exodus,19100,14,20,11
02O,Exodus,Exodus,19110,14,21,11
02O,Exodus,Exodus,19120,14,22,11
02O,Exodus,Exodus,19130,14,23,11
02O,Exodus,Exodus,19140,14,24,11
02O,Exodus,Exodus,19150,14,25,11
02O,Exodus,Exodus,19160,14,26,11
02O,Exodus,Exodus,19170,14,27,11
02O,Exodus,Exodus,19180,14,28,11
02O,Exodus,Exodus,19190,14,29,11
02O,Exodus,Exodus,19200,14,30,11
02O,Exodus,Exodus,19210,14,31,11
02O,Exodus,Exodus,19220,15,1,11
02O,Exodus,Exodus,19230,15,2,11
02O,Exodus,Exodus,19240,15,3,11
02O,Exodus,Exodus,19250,15,4,11
02O,Exodus,Exodus,19260,15,5,11
02O,Exodus,Exodus,19270,15,6,11
02O,Exodus,Exodus,19280,15,7,11
02O,Exodus,Exodus,19290,15,8,11
02O,Exodus,Exodus,19300,15,9,11
02O,Exodus,Exodus,19310,15,10,11
02O,Exodus,Exodus,19320,15,11,11
02O,Exodus,Exodus,19330,15,12,11
02O,Exodus,Exodus,19340,15,13,11
02O,Exodus,Exodus,19350,15,14,11
02O,Exodus,Exodus,19360,15,15,11
02O,Exodus,Exodus,19370,15,16,11
02O,Exodus,Exodus,19380,15,17,11
02O,Exodus,Exodus,19390,15,18,11
02O,Exodus,Exodus,19400,15,19,11
02O,Exodus,Exodus,19410,15,20,11
02O,Exodus,Exodus,19420,15,21,11
02O,Exodus,Exodus,19430,15,22,11
02O,Exodus,Exodus,19440,15,23,11
02O,Exodus,Exodus,19450,15,24,11
02O,Exodus,Exodus,19460,15,25,11
02O,Exodus,Exodus,19470,15,26,11
02O,Exodus,Exodus,19480,15,27,11
02O,Exodus,Exodus,19490,16,1,11
02O,Exodus,Exodus,19500,16,2,11
02O,Exodus,Exodus,19510,16,3,11
02O,Exodus,Exodus,19520,16,4,12
02O,Exodus,Exodus,19530,16,5,12
02O,Exodus,Exodus,19540,16,6,12
02O,Exodus,Exodus,19550,16,7,12
02O,Exodus,Exodus,19560,16,8,12
02O,Exodus,Exodus,19570,16,9,12
02O,Exodus,Exodus,19580,16,10,12
02O,Exodus,Exodus,19590,16,11,12
02O,Exodus,Exodus,19600,16,12,12
02O,Exodus,Exodus,19610,16,13,12
02O,Exodus,Exodus,19620,16,14,12
02O,Exodus,Exodus,19630,16,15,12
02O,Exodus,Exodus,19640,16,16,12
02O,Exodus,Exodus,19650,16,17,12
02O,Exodus,Exodus,19660,16,18,12
02O,Exodus,Exodus,19670,16,19,12
02O,Exodus,Exodus,19680,16,20,12
02O,Exodus,Exodus,19690,16,21,12
02O,Exodus,Exodus,19700,16,22,12
02O,Exodus,Exodus,19710,16,23,12
02O,Exodus,Exodus,19720,16,24,12
02O,Exodus,Exodus,19730,16,25,12
02O,Exodus,Exodus,19740,16,26,12
02O,Exodus,Exodus,19750,16,27,12
02O,Exodus,Exodus,19760,16,28,13
02O,Exodus,Exodus,19770,16,29,13
02O,Exodus,Exodus,19780,16,30,13
02O,Exodus,Exodus,19790,16,31,13
02O,Exodus,Exodus,19800,16,32,13
02O,Exodus,Exodus,19810,16,33,13
02O,Exodus,Exodus,19820,16,34,13
02O,Exodus,Exodus,19830,16,35,13
02O,Exodus,Exodus,19840,16,36,13
02O,Exodus,Exodus,19850,17,1,13
02O,Exodus,Exodus,19860,17,2,13
02O,Exodus,Exodus,19870,17,3,13
02O,Exodus,Exodus,19880,17,4,13
02O,Exodus,Exodus,19890,17,5,13
02O,Exodus,Exodus,19900,17,6,13
02O,Exodus,Exodus,19910,17,7,13
02O,Exodus,Exodus,19920,17,8,13
02O,Exodus,Exodus,19930,17,9,13
02O,Exodus,Exodus,19940,17,10,13
02O,Exodus,Exodus,19950,17,11,13
02O,Exodus,Exodus,19960,17,12,13
02O,Exodus,Exodus,19970,17,13,13
02O,Exodus,Exodus,19980,17,14,13
02O,Exodus,Exodus,19990,17,15,13
02O,Exodus,Exodus,20000,17,16,13
02O,Exodus,Exodus,20010,18,1,14
02O,Exodus,Exodus,20020,18,2,14
02O,Exodus,Exodus,20030,18,3,14
02O,Exodus,Exodus,20040,18,4,14
02O,Exodus,Exodus,20050,18,5,14
02O,Exodus,Exodus,20060,18,6,14
02O,Exodus,Exodus,20070,18,7,14
02O,Exodus,Exodus,20080,18,8,14
02O,Exodus,Exodus,20090,18,9,14
02O,Exodus,Exodus,20100,18,10,14
02O,Exodus,Exodus,20110,18,11,14
02O,Exodus,Exodus,20120,18,12,14
02O,Exodus,Exodus,20130,18,13,14
02O,Exodus,Exodus,20140,18,14,14
02O,Exodus,Exodus,20150,18,15,14
02O,Exodus,Exodus,20160,18,16,14
02O,Exodus,Exodus,20170,18,17,14
02O,Exodus,Exodus,20180,18,18,14
02O,Exodus,Exodus,20190,18,19,14
02O,Exodus,Exodus,20200,18,20,14
02O,Exodus,Exodus,20210,18,21,14
02O,Exodus,Exodus,20220,18,22,14
02O,Exodus,Exodus,20230,18,23,14
02O,Exodus,Exodus,20240,18,24,14
02O,Exodus,Exodus,20250,18,25,14
02O,Exodus,Exodus,20260,18,26,14
02O,Exodus,Exodus,20270,18,27,14
02O,Exodus,Exodus,20280,19,1,14
02O,Exodus,Exodus,20290,19,2,14
02O,Exodus,Exodus,20300,19,3,14
02O,Exodus,Exodus,20310,19,4,14
02O,Exodus,Exodus,20320,19,5,14
02O,Exodus,Exodus,20330,19,6,15
02O,Exodus,Exodus,20340,19,7,15
02O,Exodus,Exodus,20350,19,8,15
02O,Exodus,Exodus,20360,19,9,15
02O,Exodus,Exodus,20370,19,10,15
02O,Exodus,Exodus,20380,19,11,15
02O,Exodus,Exodus,20390,19,12,15
02O,Exodus,Exodus,20400,19,13,15
02O,Exodus,Exodus,20410,19,14,15
02O,Exodus,Exodus,20420,19,15,15
02O,Exodus,Exodus,20430,19,16,15
02O,Exodus,Exodus,20440,19,17,15
02O,Exodus,Exodus,20450,19,18,15
02O,Exodus,Exodus,20460,19,19,15
02O,Exodus,Exodus,20470,19,20,15
02O,Exodus,Exodus,20480,19,21,15
02O,Exodus,Exodus,20490,19,22,15
02O,Exodus,Exodus,20500,19,23,15
02O,Exodus,Exodus,20510,19,24,15
02O,Exodus,Exodus,20520,19,25,15
02O,Exodus,Exodus,20530,20,1,15
02O,Exodus,Exodus,20540,20,2,15
02O,Exodus,Exodus,20550,20,3,15
02O,Exodus,Exodus,20560,20,4,15
02O,Exodus,Exodus,20570,20,5,15
02O,Exodus,Exodus,20580,20,6,15
02O,Exodus,Exodus,20590,20,7,15
02O,Exodus,Exodus,20600,20,8,15
02O,Exodus,Exodus,20610,20,9,15
02O,Exodus,Exodus,20620,20,10,15
02O,Exodus,Exodus,20630,20,11,15
02O,Exodus,Exodus,20640,20,12,15
02O,Exodus,Exodus,20650,20,13,15
02O,Exodus,Exodus,20660,20,14,15
02O,Exodus,Exodus,20670,20,15,15
02O,Exodus,Exodus,20680,20,16,15
02O,Exodus,Exodus,20690,20,17,15
02O,Exodus,Exodus,20700,20,18,15
02O,Exodus,Exodus,20710,20,19,15
02O,Exodus,Exodus,20720,20,20,15
02O,Exodus,Exodus,20730,20,21,15
02O,Exodus,Exodus,20740,20,22,15
02O,Exodus,Exodus,20750,20,23,15
02O,Exodus,Exodus,20760,20,24,15
02O,Exodus,Exodus,20770,20,25,15
02O,Exodus,Exodus,20780,20,26,15
02O,Exodus,Exodus,20790,21,1,16
02O,Exodus,Exodus,20800,21,2,16
02O,Exodus,Exodus,20810,21,3,16
02O,Exodus,Exodus,20820,21,4,16
02O,Exodus,Exodus,20830,21,5,16
02O,Exodus,Exodus,20840,21,6,16
02O,Exodus,Exodus,20850,21,7,16
02O,Exodus,Exodus,20860,21,8,16
02O,Exodus,Exodus,20870,21,9,16
02O,Exodus,Exodus,20880,21,10,16
02O,Exodus,Exodus,20890,21,11,16
02O,Exodus,Exodus,20900,21,12,16
02O,Exodus,Exodus,20910,21,13,16
02O,Exodus,Exodus,20920,21,14,16
02O,Exodus,Exodus,20930,21,15,16
02O,Exodus,Exodus,20940,21,16,16
02O,Exodus,Exodus,20950,21,17,16
02O,Exodus,Exodus,20960,21,18,16
02O,Exodus,Exodus,20970,21,19,16
02O,Exodus,Exodus,20980,21,20,16
02O,Exodus,Exodus,20990,21,21,16
02O,Exodus,Exodus,21000,21,22,16
02O,Exodus,Exodus,21010,21,23,16
02O,Exodus,Exodus,21020,21,24,16
02O,Exodus,Exodus,21030,21,25,16
02O,Exodus,Exodus,21040,21,26,16
02O,Exodus,Exodus,21050,21,27,16
02O,Exodus,Exodus,21060,21,28,16
02O,Exodus,Exodus,21070,21,29,16
02O,Exodus,Exodus,21080,21,30,16
02O,Exodus,Exodus,21090,21,31,16
02O,Exodus,Exodus,21100,21,32,16
02O,Exodus,Exodus,21110,21,33,16
02O,Exodus,Exodus,21120,21,34,16
02O,Exodus,Exodus,21130,21,35,16
02O,Exodus,Exodus,21140,21,36,16
02O,Exodus,Exodus,21150,21,37,16
02O,Exodus,Exodus,21160,22,1,16
02O,Exodus,Exodus,21170,22,2,16
02O,Exodus,Exodus,21180,22,3,16
02O,Exodus,Exodus,21190,22,4,16
02O,Exodus,Exodus,21200,22,5,16
02O,Exodus,Exodus,21210,22,6,16
02O,Exodus,Exodus,21220,22,7,16
02O,Exodus,Exodus,21230,22,8,16
02O,Exodus,Exodus,21240,22,9,16
02O,Exodus,Exodus,21250,22,10,16
02O,Exodus,Exodus,21260,22,11,16
02O,Exodus,Exodus,21270,22,12,16
